combo_label,M,organo_id,n_seeds_con_datos,edep_medio_J,s_between_J,se_within_medio_J,ratio_se_within_sobre_s_between,ic95_s_between_low,ic95_s_between_high
GCR_He_min_6,2500,128,3,1.9852533333333333e-11,5.0796108810944706e-12,2.425844366666667e-12,0.4775649992591531,7.233061938017286e-12,3.247200472864938e-11
GCR_He_min_6,2500,129,3,2.0330333333333333e-10,2.5494746955663896e-11,1.2712975690000001e-11,0.49865078920407546,1.3996575935985205e-10,2.6664090730681464e-10
GCR_He_min_6,2500,130,3,1.9456699999999998e-10,2.3501452274274464e-11,1.2546718806666666e-11,0.5338699353656862,1.3618144416394143e-10,2.5295255583605853e-10
GCR_He_min_6,2500,131,3,2.8615366666666668e-11,1.0483436223077496e-11,5.7011257966666665e-12,0.5438222425693411,2.5709655031583037e-12,5.465976783017503e-11
GCR_He_min_6,2500,132,3,1.79149e-11,7.41885846812028e-12,3.1491067e-12,0.4244732142461117,-5.160535544915552e-13,3.6345853554491553e-11
GCR_He_min_6,2500,133,3,2.83873e-11,5.012434465407003e-12,2.30726816e-12,0.4603088929986944,1.5934717540874516e-11,4.083988245912548e-11
GCR_He_min_6,2500,134,3,1.6690233333333333e-12,5.580524128012829e-13,3.5533296666666667e-13,0.6367376226956613,2.8263240196428955e-13,3.055414264702377e-12
GCR_He_min_6,2500,135,3,6.352523333333333e-11,7.011426851457075e-12,4.243274633333333e-12,0.605194167069078,4.6106477711396974e-11,8.09439889552697e-11
GCR_He_min_6,2500,136,3,7.13326e-11,4.736561610493421e-12,8.457752333333332e-12,1.7856312297502794,5.956537901497547e-11,8.309982098502454e-11
GCR_He_min_6,2500,137,3,7.98079e-10,3.282628506243131e-11,3.307403370666667e-11,1.00754726414409,7.165274057821006e-10,8.796305942178993e-10
GCR_He_min_6,2500,138,3,2.81728e-09,1.2006087747472123e-10,5.342040574333333e-11,0.4449443221384166,2.5190081747647687e-09,3.1155518252352314e-09
GCR_He_min_6,2500,140,3,8.283186666666666e-14,7.464793859399826e-15,5.016003410000001e-15,0.6719547122769832,6.428679406450506e-14,1.0137693926882825e-13
GCR_He_min_6,2500,141,3,5.979773333333333e-11,2.304059494226079e-11,5.845029006666666e-12,0.2536839444169813,2.557102975782113e-12,1.1703836369088455e-10
GCR_He_min_6,5000,0,3,5.326183333333333e-10,1.515769013845223e-11,1.3151070044973335e-12,0.08676170263971503,4.949615045724563e-10,5.702751620942103e-10
GCR_He_min_6,5000,1,3,4.173116666666666e-11,2.7616369101193118e-12,5.43506362e-12,1.9680587263606595,3.4870326573342295e-11,4.859200675999103e-11
GCR_He_min_6,5000,2,3,3.3453833333333334e-11,1.2171873013769629e-11,5.3105230066666666e-12,0.43629464427200737,3.214784138370311e-12,6.369288252829636e-11
GCR_He_min_6,5000,3,3,1.6373133333333333e-11,4.459760108271894e-12,2.8410673133333334e-12,0.6370448733472829,5.293580896398927e-12,2.745268577026774e-11
GCR_He_min_6,5000,4,3,4.89971e-11,1.3741941259152581e-11,6.864104546666667e-12,0.49950035567900203,1.485747027335752e-11,8.313672972664247e-11
GCR_He_min_6,5000,5,3,5.169516666666666e-11,5.524386783465968e-13,4.171944503333333e-12,7.551868952803264,5.032272215029477e-11,5.306761118303855e-11
GCR_He_min_6,5000,6,3,1.1551366666666667e-11,1.1357053140706587e-11,3.983505283333334e-12,0.3507516636560791,-1.666339438474498e-11,3.9766127718078316e-11
GCR_He_min_6,5000,7,3,2.4239933333333332e-11,8.836760945240813e-12,2.39017302e-12,0.27048066987568203,2.2864304792554673e-12,4.61934361874112e-11
GCR_He_min_6,5000,8,3,1.9810966666666668e-10,2.5914226022270727e-11,8.689830286666668e-12,0.33533049681663707,1.337299648204224e-10,2.6248936851291096e-10
GCR_He_min_6,5000,9,3,1.4325683333333332e-12,6.371617412857847e-13,5.323848666666667e-13,0.8355568644035666,-1.5035692542453048e-13,3.015493592091197e-12
GCR_He_min_6,5000,10,3,2.702756666666667e-09,8.40990905618683e-11,4.967277095e-11,0.5906457563112142,2.493826082698605e-09,2.911687250634729e-09
GCR_He_min_6,5000,11,3,6.68089e-11,1.0115743019175605e-11,5.1303968733333335e-12,0.5071695537943234,4.1677973111885785e-11,9.193982688811421e-11
